Type,Static Input,Derived Input,Output,Output Datatype,Description
AR Collections Forecast (S1),invoice_features + customer_features + collections_features,customer_payment_scoring_from_features,payment_predictions (AR),Table,"Contains predicted payment dates, probability buckets (0-30, 30-60, 60+ days), expected payment amounts, confidence tiers (HIGH/MEDIUM/LOW), trigger events, and baseline comparison dates from Random Forest model"
AP Payment Forecast (S2),vendor_features + bill_level_features,vendor_payment_patterns_computed,payment_predictions (AP),Table,"Vendor-specific payment forecasts with predicted payment dates, probability distributions across time buckets, expected settlement amounts, and confidence tiers for AP obligations"
WIP Billing Forecast (S3),customer_features (AR avg delay metric),wip_to_invoice_conversion_rate,forecast_outputs (WIP type),Table,"Work-in-progress billing forecasts with target dates, forecast amounts, confidence ranges (low/high), source module reference (S3), and forecast run tracking for service delivery cycles"
Pipeline Forecast (S4),customer_features (AR avg delay + risk_segment),pipeline_stage_conversion_probability,forecast_outputs (PIPELINE type),Table,"Sales pipeline to cash conversion forecasts with target dates, forecast amounts, confidence intervals, source module (S4), run ID, and risk-segment adjusted probabilities for deal closure"
Expense Forecast (S5),operational_expense_features,recurring_vs_onetime_classification,forecast_outputs (EXPENSE type),Table,"Operational expense forecasts with scheduled payment dates, forecast amounts, confidence bounds, categorization by expense type, and source module (S5) tracking for budget planning"
Other Cash Movements (S6),miscellaneous_cash_features,manual_adjustment_factors,forecast_outputs (CASH type - Other),Table,"Ad-hoc and unclassified cash movement forecasts including adjustments, refunds, reversals with target dates, amounts, confidence levels, and source module (S6) reference for residual cash flows"
Cash Forecast Aggregation (S7),All forecast_outputs (AR+AP+WIP+PIPELINE+EXPENSE+S6),daily_net_position_calculation,forecast_outputs (CASH type) + Daily Position Summary,Table + Float,"Aggregated cash forecast combining all modules (S1-S6) with daily net inflow/outflow positions, cumulative cash balance projections, consolidated confidence ranges, and forecast_run_id for end-to-end traceability"
Credit Risk Assessment,customer_features (dispute_ratio + payment_volatility + DSO),payment_behavior_volatility_score,customer_payment_scores,Enum (HIGH/MEDIUM/LOW),"Risk segment classification for each customer based on historical payment behavior, dispute patterns, days sales outstanding, and volatility metrics to guide collections prioritization and credit decisions"
Collections Prioritisation,customer_payment_scores + collections_features + invoice_features,priority_scoring_algorithm,payment_predictions (ranking + days_overdue + prob_buckets),JSON,"Ranked collection priorities with invoice-level overdue days, probability of payment within each time bucket (0-30, 30-60, 60+), and recommended action severity for collections team workflow"
Recommendation Engine,customer_payment_scores + collections_features + vendor_features,recommendation_confidence_calculation,payment_predictions + forecast_outputs + recommended_actions,JSON,"Actionable recommendations for collections, credit, and cash management including: suggested collection actions, customer segment strategies, payment terms optimization, and cash timing alerts with confidence scores"
